sic,sicdesc,level
1700,CONSTRUCTION - SPECIAL TRADE CONTRACTORS,4
1710,"PLUMBING, HEATING AND AIR-CONDITIONING",4
1711,"PLUMBING, HEATING AND AIR-CONDITIONING",4
1720,PAINTING AND PAPER HANGING,4
1721,PAINTING AND PAPER HANGING,4
1730,ELECTRICAL WORK,4
1731,ELECTRICAL WORK,4
1740,"MASONRY, STONEWORK, TILE SETTING, AND PLASTERING",4
1741,"MASONRY, STONE SETTING, AND OTHER STONEWORK",4
1742,"PLASTERING, DRYWALL, ACOUSTICAL, AND INSULATION WORK",4
1743,"TERRAZZO, TILE, MARBLE, AND MOSAIC WORK",4
1750,CARPENTRY AND FLOOR WORK,4
1751,CARPENTRY WORK,4
1752,"FLOOR LAYING AND OTHER FLOORWORK, NEC",4
1760,"ROOFING, SIDING, AND SHEET METAL WORK",4
1761,"ROOFING, SIDING, AND SHEET METAL WORK",4
1770,CONCRETE WORK,4
1771,CONCRETE WORK,4
1780,WATER WELL DRILLING,4
1781,WATER WELL DRILLING,4
1790,MISCELLANEOUS SPECIAL TRADE CONTRACTORS,4
1791,STRUCTURAL STEEL ERECTION,4
1793,GLASS AND GLAZING WORK,4
1794,EXCAVATION WORK,4
1795,WRECKING AND DEMOLITION WORK,4
1796,"INSTALLATION OR ERECTION OF BUILDING EQUIPMENT, NEC",4
1799,"SPECIAL TRADE CONTRACTORS, NEC",4
2000,FOOD AND KINDRED PRODUCTS,4
2010,MEAT PRODUCTS,4
2011,MEAT PACKING PLANTS,4
2013,SAUSAGES AND OTHER PREPARED MEAT PRODUCTS,4
2015,POULTRY SLAUGHTERING AND PROCESSING,4
2016,POULTRY DRESSING PLANTS,4
2017,POULTRY AND EGG PROCESSING,4
2020,DAIRY PRODUCTS,4
2021,CREAMERY BUTTER,4
2022,"NATURAL, PROCESSED, AND IMITATION CHEESE",4
2023,"DRY, CONDENSED, AND EVAPORATED DAIRY PRODUCTS",4
2024,ICE CREAM AND FROZEN DESSERTS,4
2026,FLUID MILK,4
2030,"CANNED, FROZEN & PRESERVED FRUITS,VEGETABLES & FOOD SPECIALTIES",4
2032,CANNED SPECIALTIES,4
2033,"CANNED FRUITS, VEGETABLES, PRESERVES, JAMS, AND JELLIES",4
2034,"DRIED AND DEHYDRATED FRUITS, VEGETABLES, AND SOUP MIXES",4
2035,"PICKLED FRUITS & VEGS, VEG SAUCE & SEASONINGS, & SALAD DRESSINGS",4
2037,"FROZEN FRUITS, FRUIT JUICES AND VEGETABLES",4
2038,"FROZEN SPECIALTIES, NEC",4
2040,GRAIN MILL PRODUCTS,4
2041,FLOUR AND OTHER GRAIN MILL PRODUCTS,4
2043,CEREAL BREAKFAST FOODS,4
2044,RICE MILLING,4
2045,PREPARED FLOUR MIXES AND DOUGHS,4
2046,WET CORN MILLING,4
2047,DOG AND CAT FOOD,4
2048,"PREPARED FEEDS,FEED INGREDIENTS FOR ANIMALS & FOWLS,EX DOGS & CATS",4
2050,BAKERY PRODUCTS,4
2051,"BREAD AND OTHER BAKERY PRODUCTS, EXCEPT COOKIES AND CRACKERS",4
2052,COOKIES AND CRACKERS,4
2053,"FROZEN BAKERY PRODUCTS, EXCEPT BREAD",4
2060,SUGAR AND CONFECTIONERY PRODUCTS,4
2061,"CANE SUGAR, EXCEPT REFINING",4
2062,CANE SUGAR REFINING,4
2063,BEET SUGAR,4
2064,CANDY & OTHER CONFECTIONERY PRODUCTS,4
2065,CANDY AND OTHER CONFECTIONERY PRODUCTS,4
2066,CHOCOLATE AND COCOA PRODUCTS,4
2067,CHEWING GUM,4
2068,SALTED AND ROASTED NUTS AND SEEDS,4
2070,FATS AND OILS,4
2074,COTTONSEED OIL MILLS,4
2075,SOYBEAN OIL MILLS,4
2076,"VEGETABLE OIL MILLS, EXCEPT CORN, COTTONSEED, AND SOYBEAN",4
2077,ANIMAL AND MARINE FATS AND OILS,4
2079,"SHORTENING,TABLE OILS,MARGARINE & OTHER EDIBLE FATS & OILS,NEC",4
2080,BEVERAGES,4
2082,MALT BEVERAGES,4
2083,MALT,4
2084,"WINES, BRANDY AND BRANDY SPIRITS",4
2085,DISTILLED AND BLENDED LIQUORS,4
2086,BOTTLED AND CANNED SOFT DRINKS AND CARBONATED WATERS,4
2087,"FLAVORING EXTRACTS AND FLAVORING SYRUPS, NEC",4
2090,MISCELLANEOUS FOOD PREPARATIONS AND KINDRED PRODUCTS,4
2091,CANNED AND CURED FISH AND SEAFOODS,4
2092,PREPARED FRESH OR FROZEN FISH AND SEAFOODS,4
2095,ROASTED COFFEE,4
2096,"POTATO CHIPS, CORN CHIPS, AND SIMILAR SNACKS",4
2097,MANUFACTURED ICE,4
2098,"MACARONI, SPAGHETTI, VERMICELLI, AND NOODLES",4
2099,"FOOD PREPARATIONS, NEC",4
2100,TOBACCO PRODUCTS,4
2110,CIGARETTES,4
2111,CIGARETTES,4
2120,CIGARS,4
2121,CIGARS,4
2130,CHEWING AND SMOKING TOBACCO AND SNUFF,4
2131,CHEWING AND SMOKING TOBACCO AND SNUFF,4
2140,TOBACCO STEMMING AND REDRYING,4
2141,TOBACCO STEMMING AND REDRYING,4
2200,TEXTILE MILL PRODUCTS,4
2210,"BROADWOVEN FABRIC MILLS, COTTON",4
2211,"BROADWOVEN FABRIC MILLS, COTTON",4
2220,"BROADWOVEN FABRIC MILLS, MAN MADE FIBER AND SILK",4
2221,"BROADWOVEN FABRIC MILLS, MAN MADE FIBER AND SILK",4
2230,"BROADWOVEN FABRIC MILLS, WOOL, INCLUDING DYEING AND FINISHING",4
2231,"BROADWOVEN FABRIC MILLS, WOOL, INCLUDING DYEING AND FINISHING",4
2240,"NARROW FABRICS & OTH SMALLWARES MILLS: COTTON,WOOL,SILK,MAN MADE FIBER",4
2241,"NARROW FABRICS & OTH SMALLWARES MILLS: COTTON,WOOL,SILK,MAN MADE FIBER",4
2250,KNITTING MILLS,4
2251,"WOMEN'S FULL LENGTH AND KNEE LENGTH HOSIERY, EXCEPT SOCKS",4
2252,"HOSIERY, NEC",4
2253,KNIT OUTERWEAR MILLS,4
2254,KNIT UNDERWEAR AND NIGHTWEAR MILLS,4
2257,WEFT KNIT FABRIC MILLS,4
2258,LACE AND WARP KNIT FABRIC MILLS,4
2259,"KNITTING MILLS, NEC",4
2260,"DYEING AND FINISHING TEXTILES, EXCEPT WOOL FABRICS & KNIT GOODS",4
2261,FINISHERS OF BROADWOVEN FABRICS OF COTTON,4
2262,FINISHERS OF BROADWOVEN FABRICS OF MAN MADE FIBER AND SILK,4
2269,"FINISHERS OF TEXTILES, NEC",4
2270,CARPETS AND RUGS,4
2271,WOVEN CARPETS AND RUGS,4
2272,TUFTED CARPETS AND RUGS,4
2273,CARPETS AND RUGS,4
2279,"CARPETS AND RUGS, NEC",4
2280,YARN AND THREAD MILLS,4
2281,YARN SPINNING MILLS,4
2282,"YARN TEXTURIZING, THROWING, TWISTING, AND WINDING MILLS",4
2283,"YARN MILLS, WOOL, INCLUDING CARPET AND RUG YARN",4
2284,THREAD MILLS,4
2290,MISCELLANEOUS TEXTILE GOODS,4
2291,"FELT GOODS, EXCEPT WOVEN FELTS AND HATS",4
2292,LACE GOODS,4
2293,PADDINGS AND UPHOLSTERY FILLING,4
2294,PROCESSED WASTE AND RECOVERED FIBERS AND FLOCK,4
2295,"COATED FABRICS, NOT RUBBERIZED",4
2296,TIRE CORD AND FABRIC,4
2297,NONWOVEN FABRICS,4
2298,CORDAGE AND TWINE,4
2299,"TEXTILE GOODS, NEC",4
2300,APPAREL & OTHER FINISHED PRODS MADE FROM FABRICS & SIMILAR MATLS,4
2310,"MEN'S AND BOYS' SUITS, COATS, AND OVERCOATS",4
2311,"MEN'S AND BOYS' SUITS, COATS, AND OVERCOATS",4
2320,"MEN'S AND BOYS' FURNISHINGS, WORK CLOTHING, AND ALLIED GARMENTS",4
2321,"MEN'S AND BOYS' SHIRTS, EXCEPT WORK SHIRTS",4
2322,MEN'S AND BOYS' UNDERWEAR AND NIGHTWEAR,4
2323,MEN'S AND BOYS' NECKWEAR,4
2325,MEN'S AND BOYS' SEPARATE TROUSERS AND SLACKS,4
2326,MEN'S AND BOYS' WORK CLOTHING,4
2327,"MEN'S, YOUTHS', AND BOYS' SEPARATE TROUSERS",4
2328,"MEN'S, YOUTHS', AND BOYS' WORK CLOTHING",4
2329,"MEN'S AND BOYS' CLOTHING, NEC",4
2330,"WOMEN'S, MISSES', AND JUNIORS' OUTERWEAR",4
2331,"WOMEN'S, MISSES', AND JUNIORS' BLOUSES AND SHIRTS",4
2335,"WOMEN'S, MISSES', AND JUNIORS' DRESSES",4
2337,"WOMEN'S, MISSES', AND JUNIORS' SUITS, SKIRTS, AND COATS",4
2339,"WOMEN'S, MISSES', AND JUNIORS' OUTERWEAR, NEC",4
2340,"WOMEN'S, MISSES', CHILDREN'S AND INFANTS' UNDERGARMENTS",4
2341,"WOMEN'S, MISSES', CHILDREN'S AND INFANTS' UNDERWEAR & NIGHTWARE",4
2342,"BRASSIERES, GIRDLES, AND ALLIED GARMENTS",4
2350,"HATS, CAPS, AND MILLINERY",4
2351,MILLINERY,4
2352,"HATS AND CAPS, EXCEPT MILLINERY",4
2353,"HATS, CAPS, AND MILLINERY",4
2360,"GIRLS', CHILDREN'S, AND INFANTS' OUTERWEAR",4
2361,"GIRLS', CHILDREN'S, AND INFANTS' DRESSES, BLOUSES AND SHIRTS",4
2363,"GIRLS', CHILDREN'S, AND INFANTS' COATS AND SUITS",4
2369,"GIRLS', CHILDREN'S, AND INFANTS' OUTERWEAR, NEC",4
2370,FUR GOODS,4
2371,FUR GOODS,4
2380,MISCELLANEOUS APPAREL AND ACCESSORIES,4
2381,"DRESS AND WORK GLOVES, EXCEPT KNIT AND ALL-LEATHER",4
2384,ROBES AND DRESSING GOWNS,4
2385,WATERPROOF OUTERWEAR,4
2386,LEATHER AND SHEEP-LINED CLOTHING,4
2387,APPAREL BELTS,4
2389,"APPAREL & ACCESSORIES, NEC",4
2390,MISCELLANEOUS FABRICATED TEXTILE PRODUCTS,4
2391,CURTAINS AND DRAPERIES,4
2392,"HOUSEFURNISHINGS, EXCEPT CURTAINS AND DRAPERIES",4
2393,TEXTILE BAGS,4
2394,CANVAS AND RELATED PRODUCTS,4
2395,"PLEATING, DECORATIVE & NOVELTY STITCHING, & TUCKING FOR THE TRADE",4
2396,"AUTOMOTIVE TRIMMING, APPAREL FINDINGS, AND RELATED PRODUCTS",4
2397,SCHIFFLI MACHINE EMBROIDERIES,4
2399,"FABRICATED TEXTILE PRODUCTS, NEC",4
2400,"LUMBER AND WOOD PRODUCTS, EXCEPT FURNITURE",4
2410,LOGGING,4
2411,LOGGING,4
2420,SAWMILLS AND PLANING MILLS,4
2421,"SAWMILLS AND PLANING MILLS, GENERAL",4
2426,HARDWOOD DIMENSION AND FLOORING MILLS,4
2429,"SPECIAL PRODUCT SAWMILLS, NEC",4
2430,"MILLWORK, VENEER, PLYWOOD, AND STRUCTURAL WOOD MEMBERS",4
2431,MILLWORK,4
2434,WOOD KITCHEN CABINETS,4
2435,HARDWOOD VENEER AND PLYWOOD,4
2436,SOFTWOOD VENEER AND PLYWOOD,4
2439,"STRUCTURAL WOOD MEMBERS, NEC",4
2440,WOOD CONTAINERS,4
2441,NAILED AND LOCK CORNER WOOD BOXES AND SHOOK,4
2448,WOOD PALLETS AND SKIDS,4
2449,"WOOD CONTAINERS, NEC",4
2450,WOOD BUILDINGS AND MOBILE HOMES,4
2451,MOBILE HOMES,4
2452,PREFABRICATED WOOD BUILDINGS AND COMPONENTS,4
2490,MISCELLANEOUS WOOD PRODUCTS,4
2491,WOOD PRESERVING,4
2492,PARTICLEBOARD,4
2493,RECONSTITUTED WOOD PRODUCTS,4
2499,"WOOD PRODUCTS, NEC",4
2500,FURNITURE AND FIXTURES,4
2510,HOUSEHOLD FURNITURE,4
2511,"WOOD HOUSEHOLD FURNITURE, EXCEPT UPHOLSTERED",4
2512,"WOOD HOUSEHOLD FURNITURE, UPHOLSTERED",4
2514,METAL HOUSEHOLD FURNITURE,4
2515,"MATTRESSES, FOUNDATIONS, AND CONVERTIBLE BEDS",4
2517,"WOOD TELEVISION, RADIO, PHONOGRAPH, AND SEWING MACHINE CABINETS",4
2519,"HOUSEHOLD FURNITURE, NEC",4
2520,OFFICE FURNITURE,4
2521,WOOD OFFICE FURNITURE,4
2522,"OFFICE FURNITURE, EXCEPT WOOD",4
2530,PUBLIC BUILDING AND RELATED FURNITURE,4
2531,PUBLIC BUILDING AND RELATED FURNITURE,4
2540,"PARTITIONS, SHELVING, LOCKERS, AND OFFICE AND STORE FIXTURES",4
2541,"WOOD OFFICE AND STORE FIXTURES, PARTITIONS, SHELVING,AND LOCKERS",4
2542,"OFFICE AND STORE FIXTURES, PARTITIONS, SHELVING, & LOCKERS,EX WOOD",4
2590,MISCELLANEOUS FURNITURE AND FIXTURES,4
2591,DRAPERY HARDWARE AND WINDOW BLINDS AND SHADES,4
2599,"FURNITURE AND FIXTURES, NEC",4
2600,PAPER AND ALLIED PRODUCTS,4
2610,PULP MILLS,4
2611,PULP MILLS,4
2620,PAPER MILLS,4
2621,PAPER MILLS,4
2630,PAPERBOARD MILLS,4
2631,PAPERBOARD MILLS,4
2640,"CONVERTED AND PAPERBOARD PRODUCTS, EXCEPT CONTAINERS AND BOXES",4
2641,PAPER COATING AND GLAZING,4
2642,ENVELOPES,4
2643,"BAGS, EXCEPT TEXTILE BAGS",4
2645,DIE-CUT PAPER AND PAPERBOARD AND CARDBOARD,4
2646,PRESSED AND MOLDED PULP GOODS,4
2647,SANITARY PAPER PRODUCTS,4
2648,"STATIONERY, TABLETS AND RELATED PRODUCTS",4
2649,"CONVERTED PAPER AND PAPERBOARD PRODUCTS, NEC",4
2650,PAPERBOARD CONTAINERS AND BOXES,4
2651,FOLDING PAPERBOARD BOXES,4
2652,SETUP PAPERBOARD BOXES,4
2653,CORRUGATED AND SOLID FIBER BOXES,4
2654,SANITARY FOOD CONTAINERS,4
2655,"FIBER CANS, TUBES, DRUMS, AND SIMILAR PRODUCTS",4
2656,"SANITARY FOOD CONTAINERS, EXCEPT FOLDING",4
2657,"FOLDING PAPERBOARD BOXES, INCLUDING SANITARY",4
2660,BUILDING PAPER AND BUILDING BOARD MILLS,4
2661,BUILDING PAPER AND BUILDING BOARD MILLS,4
2670,"CONVERTED PAPER & PAPERBOARD PRODUCTS, EXCEPT CONTAINERS & BOXES",4
2671,"PACKAGING PAPER AND PLASTICS FILM, COATED AND LAMINATED",4
2672,"COATED AND LAMINATED PAPER, NEC",4
2673,"PLASTICS, FOIL, AND COATED PAPER BAGS",4
2674,UNCOATED PAPER AND MULTIWALL BAGS,4
2675,DIE-CUT PAPER AND PAPERBOARD AND CARDBOARD,4
2676,SANITARY PAPER PRODUCTS,4
2677,ENVELOPES,4
2678,"STATIONERY, TABLETS, AND RELATED PRODUCTS",4
2679,"CONVERTED PAPER AND PAPERBOARD PRODUCTS, NEC",4
2700,"PRINTING, PUBLISHING, AND ALLIED INDUSTRIES",4
2710,"NEWSPAPERS: PUBLISHING, OR PUBLISHING AND PRINTING",4
2711,"NEWSPAPERS: PUBLISHING, OR PUBLISHING AND PRINTING",4
2720,"PERIODICALS: PUBLISHING, OR PUBLISHING AND PRINTING",4
2721,"PERIODICALS: PUBLISHING, OR PUBLISHING AND PRINTING",4
2730,BOOKS,4
2731,"BOOKS: PUBLISHING, OR PUBLISHING AND PRINTING",4
2732,BOOK PRINTING,4
2740,MISCELLANEOUS PUBLISHING,4
2741,MISCELLANEOUS PUBLISHING,4
2750,COMMERCIAL PRINTING,4
2751,"COMMERCIAL PRINTING, LETTERPRESS AND SCREEN",4
2752,"COMMERCIAL PRINTING, LITHOGRAPHIC",4
2753,ENGRAVING AND PLATE PRINTING,4
2754,"COMMERCIAL PRINTING, GRAVURE",4
2759,"COMMERCIAL PRINTING, NEC",4
2760,MANIFOLD BUSINESS FORMS,4
2761,MANIFOLD BUSINESS FORMS,4
2770,GREETING CARDS,4
2771,GREETING CARDS,4
2780,"BLANKBOOKS, LOOSELEAF BINDERS, AND BOOKBINDING AND RELATED WORK",4
2782,"BLANKBOOKS, LOOSELEAF BINDERS AND DEVICES",4
2789,BOOKBINDING AND RELATED WORK,4
2790,SERVICE INDUSTRIES FOR THE PRINTING TRADE,4
2791,TYPESETTING,4
2793,PHOTOENGRAVING,4
2794,ELECTROTYPING AND STEREOTYPING,4
2795,LITHOGRAPHIC PLATEMAKING AND RELATED SERVICES,4
2796,PLATEMAKING AND RELATED SERVICES,4
2800,CHEMICALS AND ALLIED PRODUCTS,4
2810,INDUSTRIAL INORGANIC CHEMICALS,4
2812,ALKALIES AND CHLORINE,4
2813,INDUSTRIAL GASES,4
2816,INORGANIC PIGMENTS,4
2819,"INDUSTRIAL INORGANIC CHEMICALS, NEC",4
2820,"PLASTIC MATL,SYNTH RESIN,SYNTH RUBBR,CELLULOS,OTH MNMD FIBRS,EX GLASS",4
2821,"PLASTIC MATERIALS,SYNTHETIC RESINS, AND NONVULCANIZABLE ELASTOMERS",4
2822,SYNTHETIC RUBBER (VULCANIZABLE ELASTOMERS),4
2823,CELLULOSIC MAN-MADE FIBERS,4
2824,"MANMADE ORGANIC FIBERS, EXCEPT CELLULOSIC",4
2830,DRUGS,4
2831,BIOLOGICAL PRODUCTS,4
2833,MEDICINAL CHEMICALS AND BOTANICAL PRODUCTS,4
2834,PHARMACEUTICAL PREPARATIONS,4
2835,IN VITRO AND IN VIVO DIAGNOSTIC SUBSTANCES,4
2836,"BIOLOGICAL PRODUCTS, EXCEPT DIAGNOSTIC SUBSTANCES",4
2840,"SOAP,DETERGENTS,CLEANING PREPS,PERFUMES,COSMETICS & OTH TOILET PREPS",4
2841,"SOAP AND OTHER DETERGENTS, EXCEPT SPECIALTY CLEANERS",4
2842,"SPECIALTY CLEANING, POLISHING, AND SANITATION PREPARATIONS",4
2843,"SURFACE ACTIVE AGENTS, FINISHING AGENTS, SULFONATED OILS AND ASSISTANTS",4
2844,"PERFUMES, COSMETICS, AND OTHER TOILET PREPARATIONS",4
2850,"PAINTS, VARNISHES, LACQUERS, ENAMELS, AND ALLIED PRODUCTS",4
2851,"PAINTS, VARNISHES, LACQUERS, ENAMELS, AND ALLIED PRODUCTS",4
2860,INDUSTRIAL ORGANIC CHEMICALS,4
2861,GUM AND WOOD CHEMICALS,4
2865,"CYCLIC ORGANIC CRUDES & INTERMEDIATES,& ORGANIC DYES & PIGMENTS",4
2869,"INDUSTRIAL ORGANIC CHEMICALS, NEC",4
2870,AGRICULTURAL CHEMICALS,4
