giccd,gicdesc,gictype,level
20305030,Marine Ports & Services,GSUBIND,8
00000025,Consumer Discretionary,GSECTOR,2
00002510,Automobiles & Components,GGROUP,4
00251010,Auto Components,GIND,6
25101010,Auto Parts & Equipment,GSUBIND,8
25101020,Tires & Rubber,GSUBIND,8
00251020,Automobiles,GIND,6
25102010,Automobile Manufacturers,GSUBIND,8
25102020,Motorcycle Manufacturers,GSUBIND,8
00002520,Consumer Durables & Apparel,GGROUP,4
00252010,Household Durables,GIND,6
25201010,Consumer Electronics,GSUBIND,8
25201020,Home Furnishings,GSUBIND,8
25201030,Homebuilding,GSUBIND,8
25201040,Household Appliances,GSUBIND,8
25201050,Housewares & Specialties,GSUBIND,8
00252020,Leisure Products,GIND,6
25202010,Leisure Products,GSUBIND,8
25202020,Photographic Products,GSUBIND,8
00252030,"Textiles, Apparel & Luxury Goods",GIND,6
25203010,"Apparel, Accessories & Luxury Goods",GSUBIND,8
25203020,Footwear,GSUBIND,8
25203030,Textiles,GSUBIND,8
00002530,Consumer Services,GGROUP,4
00253010,"Hotels, Restaurants & Leisure",GIND,6
25301010,Casinos & Gaming,GSUBIND,8
25301020,"Hotels, Resorts & Cruise Lines",GSUBIND,8
25301030,Leisure Facilities,GSUBIND,8
25301040,Restaurants,GSUBIND,8
00253020,Diversified Consumer Services,GIND,6
25302010,Education Services,GSUBIND,8
25302020,Specialized Consumer Services,GSUBIND,8
00002540,Media,GGROUP,4
00254010,Media,GIND,6
25401010,Advertising,GSUBIND,8
25401020,Broadcasting,GSUBIND,8
25401025,Cable & Satellite,GSUBIND,8
25401030,Movies & Entertainment,GSUBIND,8
25401040,Publishing,GSUBIND,8
00002550,Retailing,GGROUP,4
00255010,Distributors,GIND,6
25501010,Distributors,GSUBIND,8
00255020,Internet & Catalog Retail,GIND,6
25502010,Catalog Retail,GSUBIND,8
25502020,Internet Retail,GSUBIND,8
00255030,Multiline Retail,GIND,6
25503010,Department Stores,GSUBIND,8
25503020,General Merchandise Stores,GSUBIND,8
00255040,Specialty Retail,GIND,6
25504010,Apparel Retail,GSUBIND,8
25504020,Computer & Electronics Retail,GSUBIND,8
25504030,Home Improvement Retail,GSUBIND,8
25504040,Specialty Stores,GSUBIND,8
25504050,Automotive Retail,GSUBIND,8
25504060,Homefurnishing Retail,GSUBIND,8
00000030,Consumer Staples,GSECTOR,2
00003010,Food & Staples Retailing,GGROUP,4
00301010,Food & Staples Retailing,GIND,6
30101010,Drug Retail,GSUBIND,8
30101020,Food Distributors,GSUBIND,8
30101030,Food Retail,GSUBIND,8
30101040,Hypermarkets & Super Centers,GSUBIND,8
00003020,Food Beverage & Tobacco,GGROUP,4
00302010,Beverages,GIND,6
30201010,Brewers,GSUBIND,8
30201020,Distillers & Vintners,GSUBIND,8
30201030,Soft Drinks,GSUBIND,8
00302020,Food Products,GIND,6
30202010,Agricultural Products,GSUBIND,8
30202020,Meat Poultry & Fish,GSUBIND,8
30202030,Packaged Foods & Meats,GSUBIND,8
00302030,Tobacco,GIND,6
30203010,Tobacco,GSUBIND,8
00003030,Household & Personal Products,GGROUP,4
00303010,Household Products,GIND,6
30301010,Household Products,GSUBIND,8
00303020,Personal Products,GIND,6
30302010,Personal Products,GSUBIND,8
00000035,Health Care,GSECTOR,2
00003510,Health Care Equipment & Services,GGROUP,4
00351010,Health Care Equipment & Supplies,GIND,6
35101010,Health Care Equipment,GSUBIND,8
35101020,Health Care Supplies,GSUBIND,8
00351020,Health Care Providers & Services,GIND,6
35102010,Health Care Distributors,GSUBIND,8
35102015,Health Care Services,GSUBIND,8
35102020,Health Care Facilities,GSUBIND,8
35102030,Managed Health Care,GSUBIND,8
00351030,Health Care Technology,GIND,6
35103010,Health Care Technology,GSUBIND,8
00003520,"Pharmaceuticals, Biotechnology & Life Sciences",GGROUP,4
00352010,Biotechnology,GIND,6
35201010,Biotechnology,GSUBIND,8
00352020,Pharmaceuticals,GIND,6
35202010,Pharmaceuticals,GSUBIND,8
00352030,Life Sciences Tools & Services,GIND,6
35203010,Life Sciences Tools & Services,GSUBIND,8
00000040,Financials,GSECTOR,2
00004010,Banks,GGROUP,4
00401010,Banks,GIND,6
40101010,Diversified Banks,GSUBIND,8
40101015,Regional Banks,GSUBIND,8
00401020,Thrifts & Mortgage Finance,GIND,6
40102010,Thrifts & Mortgage Finance,GSUBIND,8
00004020,Diversified Financials,GGROUP,4
00402010,Diversified Financial Services,GIND,6
40201010,Consumer Finance,GSUBIND,8
40201020,Other Diversified Financial Services,GSUBIND,8
40201030,Multi-Sector Holdings,GSUBIND,8
40201040,Specialized Finance,GSUBIND,8
00402020,Consumer Finance,GIND,6
40202010,Consumer Finance,GSUBIND,8
00402030,Capital Markets,GIND,6
40203010,Asset Management & Custody Banks,GSUBIND,8
40203020,Investment Banking & Brokerage,GSUBIND,8
40203030,Diversified Capital Markets,GSUBIND,8
00004030,Insurance,GGROUP,4
00403010,Insurance,GIND,6
40301010,Insurance Brokers,GSUBIND,8
40301020,Life & Health Insurance,GSUBIND,8
40301030,Multi-line Insurance,GSUBIND,8
40301040,Property & Casualty Insurance,GSUBIND,8
40301050,Reinsurance,GSUBIND,8
00004040,Real Estate,GGROUP,4
00404010,Real Estate,GIND,6
40401010,Real Estate Investment Trusts,GSUBIND,8
40401020,Real Estate Management & Development,GSUBIND,8
00404020,Real Estate Investment Trusts (REITs),GIND,6
40402010,Diversified REITs,GSUBIND,8
40402020,Industrial REITs,GSUBIND,8
40402030,Mortgage REITs,GSUBIND,8
40402035,Hotel & Resort REITs,GSUBIND,8
40402040,Office REITs,GSUBIND,8
40402045,Health Care REITs,GSUBIND,8
40402050,Residential REITs,GSUBIND,8
40402060,Retail REITs,GSUBIND,8
40402070,Specialized REITs,GSUBIND,8
00404030,Real Estate Management & Development,GIND,6
40403010,Diversified Real Estate Activities,GSUBIND,8
40403020,Real Estate Operating Companies,GSUBIND,8
40403030,Real Estate Development,GSUBIND,8
40403040,Real Estate Services,GSUBIND,8
00000045,Information Technology,GSECTOR,2
00004510,Software & Services,GGROUP,4
00451010,Internet Software & Services,GIND,6
45101010,Internet Software & Services,GSUBIND,8
00451020,IT Services,GIND,6
45102010,IT Consulting & Other Services,GSUBIND,8
45102020,Data Processing & Outsourced Services,GSUBIND,8
00451030,Software,GIND,6
45103010,Application Software,GSUBIND,8
45103020,Systems Software,GSUBIND,8
45103030,Home Entertainment Software,GSUBIND,8
00004520,Technology Hardware & Equipment,GGROUP,4
00452010,Communications Equipment,GIND,6
45201010,Networking Equipment,GSUBIND,8
45201020,Communications Equipment,GSUBIND,8
00452020,"Technology Hardware, Storage & Peripherals",GIND,6
45202010,Computer Hardware,GSUBIND,8
45202020,Computer Storage & Peripherals,GSUBIND,8
45202030,"Technology Hardware, Storage & Peripherals",GSUBIND,8
00452030,"Electronic Equipment, Instruments & Components",GIND,6
45203010,Electronic Equipment & Instruments,GSUBIND,8
45203015,Electronic Components,GSUBIND,8
45203020,Electronic Manufacturing Services,GSUBIND,8
45203030,Technology Distributors,GSUBIND,8
00452040,Office Electronics,GIND,6
45204010,Office Electronics,GSUBIND,8
00452050,Semiconductor Equipment & Products,GIND,6
45205010,Semiconductor Equipment,GSUBIND,8
45205020,Semiconductors,GSUBIND,8
00004530,Semiconductors & Semiconductor Equipment,GGROUP,4
00453010,Semiconductors & Semiconductor Equipment,GIND,6
45301010,Semiconductor Equipment,GSUBIND,8
45301020,Semiconductors,GSUBIND,8
00000050,Telecommunication Services,GSECTOR,2
00005010,Telecommunication Services,GGROUP,4
00501010,Diversified Telecommunication Services,GIND,6
50101010,Alternative Carriers,GSUBIND,8
50101020,Integrated Telecommunication Services,GSUBIND,8
00501020,Wireless Telecommunication Services,GIND,6
50102010,Wireless Telecommunication Services,GSUBIND,8
00000055,Utilities,GSECTOR,2
00005510,Utilities,GGROUP,4
00551010,Electric Utilities,GIND,6
55101010,Electric Utilities,GSUBIND,8
00551020,Gas Utilities,GIND,6
55102010,Gas Utilities,GSUBIND,8
00551030,Multi-Utilities,GIND,6
55103010,Multi-Utilities,GSUBIND,8
00551040,Water Utilities,GIND,6
55104010,Water Utilities,GSUBIND,8
00551050,Independent Power and Renewable Electricity Producers,GIND,6
55105010,Independent Power Producers & Energy Traders,GSUBIND,8
55105020,Renewable Electricity,GSUBIND,8
